fold,lead,model,best_params,best_val_score,best_iteration,n_features_total,n_features_retained,K_eff,boundary_gap,search_duration_s,fit_duration_s,n_trials,train_rmse
5,1,persistence,"{""spei3_column"": ""spei3""}",,,0,0,9,12,0.0,1.4066696166992188e-05,0,0.7347464982686835
5,1,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,9,12,0.0,0.0610060691833496,0,0.6501616508063081
5,1,ols,{},,,61,61,9,12,0.0,0.4914228916168213,0,0.5872157304931188
5,1,ridge,"{""alpha"": 1000.0}",-0.3367504085348762,,61,61,9,12,5.559876203536987,5.976296186447144,13,0.5898715901026255
5,1,lasso,"{""alpha"": 0.00316}",-0.3318991478324141,,61,36,9,12,7.160470962524414,8.039051055908203,13,0.5916790688953626
5,1,elasticnet,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",-0.3300082337648151,,61,32,9,12,28.811017990112305,29.482279777526855,35,0.5950795925132587
5,1,rf,"{""n_estimators"": 500, ""max_depth"": 20, ""min_samples_leaf"": 20, ""max_features"": 1.0}",-0.3504492553712666,,61,61,9,12,882.9715147018433,934.2698826789856,40,0.2159685894342078
5,1,xgboost,"{""max_depth"": 8, ""learning_rate"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_lambda"": 1.0, ""min_child_weight"": 5}",-0.3003004880892016,160.0,61,61,9,12,70.64974594116211,72.06796383857727,40,0.11451197047688658
1,3,climatology,{},,,0,0,4,9,0.0,0.009286880493164,0,1.0043067762419446
1,3,persistence,"{""spei3_column"": ""spei3""}",,,0,0,4,9,0.0,1.52587890625e-05,0,1.3910949930469048
1,3,ar,"{""p"": 3, ""alpha"": 1.0}",,,3,3,4,9,0.0,0.039658784866333,0,1.0067178002578203
1,3,ols,{},,,57,57,4,9,0.0,0.3236448764801025,0,0.9750729667622783
1,3,ridge,"{""alpha"": 1000.0}",-1.297862292212334,,57,57,4,9,3.811932325363159,4.096916198730469,13,0.9793913848704578
